category,evidence_regime,benchmark_name,availability,auc,ks,balanced_accuracy,threshold,positive_count,negative_count,source_artifact,comparison_note
PFAS,broad_unrepaired_property_matched,PFAS / property-matched broad stress baseline,available,0.9985,0.9674,0.9837,0.5029,100,276,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Solvents,broad_stress_all_other_random,Solvents / all-other-random broad stress baseline,available,0.9431,0.8080,0.9040,0.6562,100,205,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Solvents,broad_stress_related_hard,Solvents / related-hard broad stress baseline,available,0.9159,0.6748,0.8374,0.3481,100,151,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Solvents,broad_stress_distant_other,Solvents / distant-other broad stress baseline,available,0.9366,0.7944,0.8972,0.4813,100,207,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Solvents,broad_unrepaired_property_matched,Solvents / property-matched broad stress baseline,available,0.4700,0.2325,0.5740,0.9672,100,134,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Flavoring Agents,broad_stress_all_other_random,Flavoring Agents / all-other-random broad stress baseline,available,0.9210,0.7117,0.8559,0.8812,100,205,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Flavoring Agents,broad_stress_related_hard,Flavoring Agents / related-hard broad stress baseline,available,0.8208,0.5280,0.7640,0.8812,100,123,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Flavoring Agents,broad_stress_distant_other,Flavoring Agents / distant-other broad stress baseline,available,0.9437,0.7708,0.8854,0.7875,100,229,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Flavoring Agents,broad_unrepaired_property_matched,Flavoring Agents / property-matched broad stress baseline,available,0.5250,0.0500,0.5250,0.4000,100,59,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Flavoring Agents,broad_audited_hard_negative,Flavoring Agents / audited-hard-negative broad stress baseline,available,0.5350,0.0700,0.5350,0.2857,100,25,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Additives,broad_stress_all_other_random,Food Additives / all-other-random broad stress baseline,available,0.7731,0.4636,0.7318,0.3249,100,202,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Additives,broad_stress_related_hard,Food Additives / related-hard broad stress baseline,available,0.7850,0.4791,0.7395,0.4707,100,159,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Additives,broad_stress_distant_other,Food Additives / distant-other broad stress baseline,available,0.7688,0.4529,0.7265,0.4061,100,207,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Additives,broad_unrepaired_property_matched,Food Additives / property-matched broad stress baseline,available,0.4247,0.2700,0.5546,0.9550,100,65,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Lipids,broad_stress_all_other_random,Lipids / all-other-random broad stress baseline,available,0.8199,0.4881,0.7440,0.0500,100,242,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Lipids,broad_stress_related_hard,Lipids / related-hard broad stress baseline,available,0.8926,0.6153,0.8077,0.4221,100,196,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Lipids,broad_stress_distant_other,Lipids / distant-other broad stress baseline,available,0.8739,0.6205,0.8102,0.4903,100,257,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Lipids,broad_unrepaired_property_matched,Lipids / property-matched broad stress baseline,available,0.6250,0.2500,0.6250,0.0385,100,137,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Lipids,broad_audited_hard_negative,Lipids / audited-hard-negative broad stress baseline,available,0.6200,0.2400,0.6200,0.0400,100,134,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Endocrine Disruptors,broad_stress_all_other_random,Endocrine Disruptors / all-other-random broad stress baseline,available,0.8111,0.4832,0.7416,0.1096,100,206,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Endocrine Disruptors,broad_stress_related_hard,Endocrine Disruptors / related-hard broad stress baseline,available,0.7935,0.4584,0.7292,0.5040,100,244,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Endocrine Disruptors,broad_stress_distant_other,Endocrine Disruptors / distant-other broad stress baseline,available,0.8704,0.5957,0.7979,0.0625,100,175,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Endocrine Disruptors,broad_unrepaired_property_matched,Endocrine Disruptors / property-matched broad stress baseline,available,0.3899,0.2800,0.5278,0.9589,100,207,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Pesticides,broad_stress_all_other_random,Pesticides / all-other-random broad stress baseline,available,0.7702,0.4086,0.7043,0.1123,100,238,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Pesticides,broad_stress_related_hard,Pesticides / related-hard broad stress baseline,available,0.6820,0.3620,0.6810,0.0622,100,250,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Pesticides,broad_stress_distant_other,Pesticides / distant-other broad stress baseline,available,0.7842,0.4763,0.7381,0.0991,100,241,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Fragrances,broad_stress_all_other_random,Fragrances / all-other-random broad stress baseline,available,0.8287,0.6114,0.8057,0.5000,100,187,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Fragrances,broad_stress_related_hard,Fragrances / related-hard broad stress baseline,available,0.7350,0.4372,0.7186,0.5634,100,123,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Fragrances,broad_stress_distant_other,Fragrances / distant-other broad stress baseline,available,0.8807,0.7094,0.8547,0.9500,100,217,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Surfactants,broad_stress_all_other_random,Surfactants / all-other-random broad stress baseline,available,0.9431,0.7888,0.8944,0.7208,100,234,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Surfactants,broad_stress_related_hard,Surfactants / related-hard broad stress baseline,available,0.9693,0.8582,0.9291,0.6000,100,178,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Surfactants,broad_stress_distant_other,Surfactants / distant-other broad stress baseline,available,0.9350,0.7819,0.8909,0.6455,100,259,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Cosmetics,broad_stress_all_other_random,Cosmetics / all-other-random broad stress baseline,available,0.5384,0.0597,0.5299,0.0429,100,217,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Cosmetics,broad_stress_related_hard,Cosmetics / related-hard broad stress baseline,available,0.6475,0.2173,0.6087,0.0778,100,164,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Cosmetics,broad_stress_distant_other,Cosmetics / distant-other broad stress baseline,available,0.5050,0.0100,0.5050,1.0000,100,243,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Contact Substances,broad_stress_all_other_random,Food Contact Substances / all-other-random broad stress baseline,available,0.5000,0.0000,0.5000,0.5000,100,201,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Contact Substances,broad_stress_related_hard,Food Contact Substances / related-hard broad stress baseline,available,0.6166,0.1893,0.5946,0.0500,100,149,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Contact Substances,broad_stress_distant_other,Food Contact Substances / distant-other broad stress baseline,available,0.5000,0.0000,0.5000,0.5000,100,243,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Contact Substances,broad_unrepaired_property_matched,Food Contact Substances / property-matched broad stress baseline,available,0.4400,0.2400,0.5573,0.9525,100,236,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Food Contact Substances,broad_audited_hard_negative,Food Contact Substances / audited-hard-negative broad stress baseline,available,0.3800,0.2400,0.5000,0.5000,100,192,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Human Drugs,broad_stress_all_other_random,Human Drugs / all-other-random broad stress baseline,available,0.7606,0.4766,0.7383,0.4854,100,268,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Human Drugs,broad_stress_related_hard,Human Drugs / related-hard broad stress baseline,available,0.7445,0.4398,0.7199,0.5000,100,257,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Human Drugs,broad_stress_distant_other,Human Drugs / distant-other broad stress baseline,available,0.8148,0.5436,0.7718,0.5000,100,289,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Human Drugs,broad_unrepaired_property_matched,Human Drugs / property-matched broad stress baseline,available,0.3815,0.2347,0.5000,0.5000,100,237,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Human Drugs,broad_audited_hard_negative,Human Drugs / audited-hard-negative broad stress baseline,available,0.4309,0.2526,0.5480,0.9906,100,135,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Animal Drugs,broad_stress_all_other_random,Animal Drugs / all-other-random broad stress baseline,available,0.5300,0.0600,0.5300,1.0000,100,221,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Animal Drugs,broad_stress_related_hard,Animal Drugs / related-hard broad stress baseline,available,0.5973,0.1641,0.5820,0.1000,100,217,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Animal Drugs,broad_stress_distant_other,Animal Drugs / distant-other broad stress baseline,available,0.5300,0.0600,0.5300,1.0000,100,222,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Animal Drugs,broad_unrepaired_property_matched,Animal Drugs / property-matched broad stress baseline,available,0.4300,0.2000,0.5300,0.6250,100,254,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
Animal Drugs,broad_audited_hard_negative,Animal Drugs / audited-hard-negative broad stress baseline,available,0.3924,0.2400,0.5115,0.9638,100,142,D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\score_robustness_summary.csv | D:\DSWU\2026_기말고사\algorithm_paper_app\results\score_robustness\audited_hard_negative_audit_summary.csv,Broad stress baseline from score robustness outputs; keep separate from native/original and same-pair hybrid evidence.
