output_id,output_name,output_level,parent_category,reported_positive_count,reported_auc,reported_balanced_accuracy,validation_regime,recommended_final_policy,source,parent_whole_category_positive_count,parent_whole_category_auc,parent_whole_category_balanced_accuracy,parent_property_matched_auc,parent_property_matched_balanced_accuracy,latest_bounded_broad_status,latest_bounded_broad_caveat,latest_bounded_source,sample_size_risk,key_interpretation,qed_baseline_auc,qed_baseline_balanced_accuracy,delta_auc_vs_qed,delta_balanced_accuracy_vs_qed,beats_qed_auc,beats_qed_balanced_accuracy,reportable_vs_qed
cosmetics__family_01__long_chain_ester_family,Cosmetics / Long Chain Ester Family,subcategory,Cosmetics,109,0.9679,0.9234,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
cosmetics__family_05__long_chain_sulfonate_family,Cosmetics / Long Chain Sulfonate Family,subcategory,Cosmetics,19,0.9558,0.9221,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
cosmetics__family_04__long_chain_family,Cosmetics / Long Chain Family,subcategory,Cosmetics,19,0.9443,0.8789,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
cosmetics__family_06__long_chain_family,Cosmetics / Long Chain Family,subcategory,Cosmetics,16,0.8532,0.8492,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
cosmetics__family_03__long_chain_glycol_family,Cosmetics / Long Chain Glycol Family,subcategory,Cosmetics,24,0.8517,0.8063,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1179,0.4645,0.5068,0.6,0.6,no_confirmed_improvement,"Latest bounded attempt uses variant=baseline, runs=1, delta_auc=0.0000, delta_balanced_accuracy=0.0000; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
food_contact_substances__family_05__prototype_family_5,Food Contact Substances / Prototype Family 5,subcategory,Food Contact Substances,10,0.9725,0.9385,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1187,0.5,0.5,0.44,0.5573,positive_delta,"Latest bounded attempt uses variant=all_other_random, runs=1, delta_auc=0.0980, delta_balanced_accuracy=-0.0182; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
food_contact_substances__family_04__ester_glycol_family,Food Contact Substances / Ester Glycol Family,subcategory,Food Contact Substances,13,0.9579,0.9015,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1187,0.5,0.5,0.44,0.5573,positive_delta,"Latest bounded attempt uses variant=all_other_random, runs=1, delta_auc=0.0980, delta_balanced_accuracy=-0.0182; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
food_contact_substances__family_02__long_chain_ester_family,Food Contact Substances / Long Chain Ester Family,subcategory,Food Contact Substances,42,0.9528,0.8967,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1187,0.5,0.5,0.44,0.5573,positive_delta,"Latest bounded attempt uses variant=all_other_random, runs=1, delta_auc=0.0980, delta_balanced_accuracy=-0.0182; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
food_contact_substances__family_06__ester_long_chain_family,Food Contact Substances / Ester Long Chain Family,subcategory,Food Contact Substances,9,0.9471,0.9421,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1187,0.5,0.5,0.44,0.5573,positive_delta,"Latest bounded attempt uses variant=all_other_random, runs=1, delta_auc=0.0980, delta_balanced_accuracy=-0.0182; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,small_sample_or_sparse_category,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
food_contact_substances__family_01__long_chain_family,Food Contact Substances / Long Chain Family,subcategory,Food Contact Substances,58,0.8786,0.8859,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1187,0.5,0.5,0.44,0.5573,positive_delta,"Latest bounded attempt uses variant=all_other_random, runs=1, delta_auc=0.0980, delta_balanced_accuracy=-0.0182; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
food_contact_substances__family_03__long_chain_family,Food Contact Substances / Long Chain Family,subcategory,Food Contact Substances,21,0.8491,0.8673,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1187,0.5,0.5,0.44,0.5573,positive_delta,"Latest bounded attempt uses variant=all_other_random, runs=1, delta_auc=0.0980, delta_balanced_accuracy=-0.0182; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g003_broad_category_improvement/g003_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__family_02__imidazole_long_chain_family,Human Drugs / Imidazole Long Chain Family,subcategory,Human Drugs,9,1,0.9998,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,small_sample_or_sparse_category,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__family_03__imidazole_long_chain_family,Human Drugs / Imidazole Long Chain Family,subcategory,Human Drugs,8,1,1,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,small_sample_or_sparse_category,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__family_05__halogen_long_chain_family,Human Drugs / Halogen Long Chain Family,subcategory,Human Drugs,7,0.9988,0.9962,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,small_sample_or_sparse_category,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__family_01__glycol_quaternary_n_family,Human Drugs / Glycol Quaternary N Family,subcategory,Human Drugs,10,0.9929,0.9688,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__family_06__long_chain_ester_family,Human Drugs / Long Chain Ester Family,subcategory,Human Drugs,6,0.9714,0.9306,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,small_sample_or_sparse_category,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__family_04__urea_aromatic_oh_family,Human Drugs / Urea Aromatic Oh Family,subcategory,Human Drugs,7,0.8194,0.855,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,small_sample_or_sparse_category,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__4922817__corticosteroid_hormone_receptor_agonists_moa,Human Drugs / Corticosteroid Hormone Receptor Agonists [MoA],subcategory,Human Drugs,,0.9104,0.8888,property_matched,official_subtype_panel,results/official_drug_subtype_validation/official_drug_subtype_partial_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,subtype_count_not_reported_in_summary,"Whole-category score is weak, but official FDA subtype labels recover useful signal for this named subtype. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__4922818__corticosteroid_epc,Human Drugs / Corticosteroid [EPC],subcategory,Human Drugs,,0.9104,0.8888,property_matched,official_subtype_panel,results/official_drug_subtype_validation/official_drug_subtype_partial_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,subtype_count_not_reported_in_summary,"Whole-category score is weak, but official FDA subtype labels recover useful signal for this named subtype. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__4923209__kinase_inhibitor_epc,Human Drugs / Kinase Inhibitor [EPC],subcategory,Human Drugs,,0.8806,0.8349,property_matched,official_subtype_panel,results/official_drug_subtype_validation/official_drug_subtype_partial_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,subtype_count_not_reported_in_summary,"Whole-category score is weak, but official FDA subtype labels recover useful signal for this named subtype. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
human_drugs__4922843__cytochrome_p450_3a_inhibitors_moa,Human Drugs / Cytochrome P450 3A Inhibitors [MoA],subcategory,Human Drugs,,0.8229,0.7807,property_matched,official_subtype_panel,results/official_drug_subtype_validation/official_drug_subtype_partial_summary.csv,1167,0.7128,0.6764,0.3815,0.5,positive_delta,"Latest bounded attempt uses variant=related_hard, runs=1, delta_auc=0.0859, delta_balanced_accuracy=0.0443; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,subtype_count_not_reported_in_summary,"Whole-category score is weak, but official FDA subtype labels recover useful signal for this named subtype. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
animal_drugs__family_04__imidazole_aromatic_oh_family,Animal Drugs / Imidazole Aromatic Oh Family,subcategory,Animal Drugs,10,0.9999,0.9997,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,859,0.5816,0.567,0.43,0.53,positive_delta,"Latest bounded attempt uses variant=related_hard_category_prior, runs=1, delta_auc=0.1169, delta_balanced_accuracy=0.0456; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
animal_drugs__family_03__halogen_long_chain_family,Animal Drugs / Halogen Long Chain Family,subcategory,Animal Drugs,11,0.9978,0.9877,property_matched,evidence_panel,results/subcategory_validation/subcategory_summary.csv,859,0.5816,0.567,0.43,0.53,positive_delta,"Latest bounded attempt uses variant=related_hard_category_prior, runs=1, delta_auc=0.1169, delta_balanced_accuracy=0.0456; this is a bounded/single-seed experimental result and must not be treated as final proof.",results/g004_broad_drug_improvement/g004_broad_category_improvement_summary.csv,adequate_size,"Whole-category score is weak, but subtype-family scores are strong; report as evidence panel with prototype-family support. Broad parent status remains caveated by latest bounded broad-category evidence.",,,,,,,
